roll, subCode, subName, letter, cgpa, totalCredit, creditObtained
30000118026,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118027,BSPH101,Physics - I (Gr - A),C,6,4.0,24.0
30000118027,BSM101,Mathematics - I A,B,7,4.0,28.0
30000118027,ESEE101,Basic Electrical Engineering,A,8,4.0,32.0
30000118027,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118027,ESEE191,Basic Electrical Engineering Laboratory,E,9,1.0,9.0
30000118027,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118028,BSPH101,Physics - I (Gr - A),D,5,4.0,20.0
30000118028,BSM101,Mathematics - I A,B,7,4.0,28.0
30000118028,ESEE101,Basic Electrical Engineering,F,2,4.0,8.0
30000118028,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118028,ESEE191,Basic Electrical Engineering Laboratory,A,8,1.0,8.0
30000118028,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
30000118029,BSPH101,Physics - I (Gr - A),C,6,4.0,24.0
30000118029,BSM101,Mathematics - I A,C,6,4.0,24.0
30000118029,ESEE101,Basic Electrical Engineering,B,7,4.0,28.0
30000118029,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118029,ESEE191,Basic Electrical Engineering Laboratory,E,9,1.0,9.0
30000118029,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
30000118030,BSPH101,Physics - I (Gr - A),C,6,4.0,24.0
30000118030,BSM101,Mathematics - I A,E,9,4.0,36.0
30000118030,ESEE101,Basic Electrical Engineering,A,8,4.0,32.0
30000118030,BSPH191,Physics - I Laboratory (Gr - A),O,10,1.5,15.0
30000118030,ESEE191,Basic Electrical Engineering Laboratory,O,10,1.0,10.0
30000118030,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118031,BSPH101,Physics I (Gr A),F,2,4.0,8.0
30000118031,BSM101,Mathematics I A,F,2,4.0,8.0
30000118031,ESEE101,Basic Electrical Engineering,D,5,4.0,20.0
30000118031,BSPH191,Physics - I Laboratory (Gr - A),A,8,1.5,12.0
30000118031,ESEE191,Basic Electrical Engineering Laboratory,A,8,1.0,8.0
30000118031,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
30000118032,BSPH101,Physics - I (Gr - A),D,5,4.0,20.0
30000118032,BSM101,Mathematics - I A,A,8,4.0,32.0
30000118032,ESEE101,Basic Electrical Engineering,A,8,4.0,32.0
30000118032,BSPH191,Physics - I Laboratory (Gr - A),O,10,1.5,15.0
30000118032,ESEE191,Basic Electrical Engineering Laboratory,O,10,1.0,10.0
30000118032,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118033,BSPH101,Physics - I (Gr - A),C,6,4.0,24.0
30000118033,BSM101,Mathematics - I A,B,7,4.0,28.0
30000118033,ESEE101,Basic Electrical Engineering,C,6,4.0,24.0
30000118033,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118033,ESEE191,Basic Electrical Engineering Laboratory,O,10,1.0,10.0
30000118033,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118034,BSPH101,Physics - I (Gr - A),C,6,4.0,24.0
30000118034,BSM101,Mathematics - I A,A,8,4.0,32.0
30000118034,ESEE101,Basic Electrical Engineering,D,5,4.0,20.0
30000118034,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118034,ESEE191,Basic Electrical Engineering Laboratory,E,9,1.0,9.0
30000118034,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
30000118035,BSPH101,Physics - I (Gr - A),B,7,4.0,28.0
30000118035,BSM101,Mathematics - I A,E,9,4.0,36.0
30000118035,ESEE101,Basic Electrical Engineering,A,8,4.0,32.0
30000118035,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118035,ESEE191,Basic Electrical Engineering Laboratory,E,9,1.0,9.0
30000118035,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
30000118036,BSPH101,Physics - I (Gr - A),D,5,4.0,20.0
30000118036,BSM101,Mathematics - I A,A,8,4.0,32.0
30000118036,ESEE101,Basic Electrical Engineering,C,6,4.0,24.0
30000118036,BSPH191,Physics - I Laboratory (Gr - A),O,10,1.5,15.0
30000118036,ESEE191,Basic Electrical Engineering Laboratory,O,10,1.0,10.0
30000118036,ESME192,Workshop/Manufacturing Practices(Gr - A),O,10,3.0,30.0
30000118037,BSPH101,Physics - I (Gr - A),D,5,4.0,20.0
30000118037,BSM101,Mathematics - I A,B,7,4.0,28.0
30000118037,ESEE101,Basic Electrical Engineering,A,8,4.0,32.0
30000118037,BSPH191,Physics - I Laboratory (Gr - A),E,9,1.5,13.5
30000118037,ESEE191,Basic Electrical Engineering Laboratory,E,9,1.0,9.0
30000118037,ESME192,Workshop/Manufacturing Practices(Gr - A),E,9,3.0,27.0
